userid,scene,bitrate,speed,choice
yj367,school,1mbps,school1,0
yj367,salledebain,8mbps,salledebain1,0
yj367,breakfastroom,2mbps,breakfastroom1,0
yj367,sibenik,8mbps,sibenik1,0
yj367,breakfastroom,1mbps,breakfastroom2,1
yj367,sibenik,1mbps,sibenik2,0
yj367,rogue,2mbps,rogue2,1
yj367,breakfastroom,8mbps,breakfastroom2,1
yj367,school,8mbps,school1,0
yj367,sibenik,2mbps,sibenik2,1
yj367,salledebain,2mbps,salledebain3,0
yj367,salledebain,1mbps,salledebain1,0
yj367,breakfastroom,8mbps,breakfastroom1,0
yj367,sibenik,1mbps,sibenik3,1
yj367,salledebain,4mbps,salledebain3,0
yj367,makeway,2mbps,makeway1,1
yj367,breakfastroom,2mbps,breakfastroom3,1
yj367,sibenik,1mbps,sibenik1,1
yj367,makeway,8mbps,makeway2,1
yj367,breakfastroom,2mbps,breakfastroom2,0
yj367,rogue,8mbps,rogue2,0
yj367,makeway,8mbps,makeway1,1
yj367,salledebain,2mbps,salledebain1,1
yj367,breakfastroom,4mbps,breakfastroom2,1
yj367,breakfastroom,4mbps,breakfastroom3,1
yj367,salledebain,4mbps,salledebain2,1
yj367,salledebain,4mbps,salledebain1,0
yj367,rogue,1mbps,rogue2,0
yj367,school,8mbps,school2,1
yj367,salledebain,1mbps,salledebain2,1
yj367,sibenik,4mbps,sibenik2,0
yj367,sibenik,4mbps,sibenik3,0
yj367,sibenik,8mbps,sibenik2,0
yj367,rogue,4mbps,rogue1,0
yj367,school,1mbps,school2,0
yj367,school,2mbps,school1,0
yj367,salledebain,1mbps,salledebain3,1
yj367,breakfastroom,8mbps,breakfastroom3,0
yj367,sibenik,8mbps,sibenik3,0
yj367,sibenik,2mbps,sibenik1,0
yj367,makeway,4mbps,makeway2,1
yj367,salledebain,8mbps,salledebain2,1
yj367,rogue,8mbps,rogue1,0
yj367,makeway,1mbps,makeway2,0
yj367,school,2mbps,school2,0
yj367,school,4mbps,school2,1
yj367,salledebain,2mbps,salledebain2,1
yj367,makeway,4mbps,makeway1,0
yj367,rogue,4mbps,rogue2,0
yj367,sibenik,2mbps,sibenik3,1
yj367,makeway,1mbps,makeway1,1
yj367,breakfastroom,4mbps,breakfastroom1,0
yj367,makeway,2mbps,makeway2,1
yj367,salledebain,8mbps,salledebain3,0
yj367,breakfastroom,1mbps,breakfastroom3,0
yj367,rogue,2mbps,rogue1,0
yj367,breakfastroom,1mbps,breakfastroom1,1
yj367,school,4mbps,school1,0
yj367,sibenik,4mbps,sibenik1,0
yj367,rogue,1mbps,rogue1,1
