userid,scene,bitrate,speed,choice,speed_label
hl674,school,8000,1.5,0,Medium
hl674,rogue,8000,1.5,1,Medium
hl674,makeway,2000,1.5,1,Medium
hl674,school,4000,1.5,0,Medium
hl674,makeway,4000,1.5,1,Medium
hl674,rogue,4000,1.5,1,Medium
hl674,rogue,1000,2.0,1,Fast
hl674,school,8000,1.0,0,Slow
hl674,school,1000,1.5,1,Medium
hl674,school,1000,1.0,1,Slow
hl674,school,2000,1.0,1,Slow
hl674,makeway,1000,2.0,1,Fast
hl674,rogue,1000,1.5,1,Medium
hl674,makeway,1000,1.5,1,Medium
hl674,school,2000,1.5,0,Medium
hl674,makeway,2000,2.0,0,Fast
hl674,rogue,2000,1.5,1,Medium
hl674,rogue,2000,2.0,1,Fast
hl674,school,4000,1.0,0,Slow
hl674,makeway,8000,2.0,0,Fast
hl674,rogue,4000,2.0,1,Fast
hl674,makeway,8000,1.5,1,Medium
hl674,makeway,4000,2.0,0,Fast
hl674,rogue,8000,2.0,1,Fast
