userid,scene,bitrate,speed,choice
jn517,school,,school2_2mbps,0
jn517,makeway,,makeway1_8mbps,1
jn517,makeway,,makeway1_2mbps,1
jn517,school,,school1_8mbps,0
jn517,rogue,,rogue1_4mbps,1
jn517,rogue,,rogue1_8mbps,1
jn517,school,,school1_4mbps,1
jn517,rogue,,rogue1_1mbps,1
jn517,makeway,,makeway1_4mbps,1
jn517,school,,school1_1mbps,1
jn517,school,,school2_1mbps,1
jn517,school,,school2_8mbps,1
jn517,makeway,,makeway2_8mbps,1
jn517,rogue,,rogue1_2mbps,1
jn517,makeway,,makeway2_1mbps,1
jn517,rogue,,rogue2_8mbps,1
jn517,rogue,,rogue2_1mbps,1
jn517,makeway,,makeway2_2mbps,1
jn517,school,,school2_4mbps,1
jn517,makeway,,makeway1_1mbps,1
jn517,makeway,,makeway2_4mbps,1
jn517,rogue,,rogue2_4mbps,1
jn517,rogue,,rogue2_2mbps,1
jn517,school,,school1_2mbps,1
